"TIME","GEO","INDIC_IS","IND_TYPE","UNIT","Value","Flag and Footnotes"
"2015","European Union - 27 countries (from 2020)","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","23",""
"2015","European Union - 27 countries (from 2020)","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","27",""
"2015","European Union - 27 countries (from 2020)","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","27",""
"2015","European Union - 27 countries (from 2020)","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","54",""
"2015","European Union - 27 countries (from 2020)","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","1",""
"2015","European Union - 28 countries (2013-2020)","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","23",""
"2015","European Union - 28 countries (2013-2020)","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","27",""
"2015","European Union - 28 countries (2013-2020)","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","28",""
"2015","European Union - 28 countries (2013-2020)","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","55",""
"2015","European Union - 28 countries (2013-2020)","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","1",""
"2015","European Union - 27 countries (2007-2013)","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","23",""
"2015","European Union - 27 countries (2007-2013)","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","27",""
"2015","European Union - 27 countries (2007-2013)","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","28",""
"2015","European Union - 27 countries (2007-2013)","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","55",""
"2015","European Union - 27 countries (2007-2013)","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","1",""
"2015","European Union - 15 countries (1995-2004)","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","23",""
"2015","European Union - 15 countries (1995-2004)","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","28",""
"2015","European Union - 15 countries (1995-2004)","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","31",""
"2015","European Union - 15 countries (1995-2004)","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","59",""
"2015","European Union - 15 countries (1995-2004)","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","1",""
"2015","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","23",""
"2015","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","28",""
"2015","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","29",""
"2015","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","57",""
"2015","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","1",""
"2015","Belgium","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","24",""
"2015","Belgium","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","29",""
"2015","Belgium","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","31",""
"2015","Belgium","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","60",""
"2015","Belgium","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","0","n"
"2015","Bulgaria","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","25",""
"2015","Bulgaria","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","18",""
"2015","Bulgaria","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","13",""
"2015","Bulgaria","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","31",""
"2015","Bulgaria","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","0","n"
"2015","Czechia","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","23",""
"2015","Czechia","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","34",""
"2015","Czechia","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","23",""
"2015","Czechia","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","57",""
"2015","Czechia","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","1",""
"2015","Denmark","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","20",""
"2015","Denmark","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","26",""
"2015","Denmark","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","48",""
"2015","Denmark","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","75",""
"2015","Denmark","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","1",""
"2015","Germany (until 1990 former territory of the FRG)","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","21",""
"2015","Germany (until 1990 former territory of the FRG)","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","31",""
"2015","Germany (until 1990 former territory of the FRG)","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","35",""
"2015","Germany (until 1990 former territory of the FRG)","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","67",""
"2015","Germany (until 1990 former territory of the FRG)","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","0","n"
"2015","Estonia","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","23",""
"2015","Estonia","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","27",""
"2015","Estonia","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","37",""
"2015","Estonia","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","65",""
"2015","Estonia","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","1",""
"2015","Ireland","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","35",""
"2015","Ireland","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","19",""
"2015","Ireland","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","25",""
"2015","Ireland","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","44",""
"2015","Ireland","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","1",""
"2015","Greece","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","22",""
"2015","Greece","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","28",""
"2015","Greece","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","16",""
"2015","Greece","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","44",""
"2015","Greece","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","1",""
